course,description,day,time,room,capacity,availability
CS 211,OH (Zhang),F,6:00 PM,Mudd 3108- request swipe access - permissions@cs.northwestern.edu,10,1/10 - 3/21
CS 211,OH (Zhang),F,9:00 AM,First floor lobby of Mudd,10,1/10 - 3/21
CS 214,office hours,F,3:00 PM,Mudd 3532,8,1/10 - 3/21
CS 214,office hours,F,4:00 PM,Mudd 3532,8,1/10 - 3/21
CS 211,OH (Zhang),F,10:00 AM,First floor lobby of Mudd,10,1/10 - 3/21
CS 310,office hours,F,9:00 AM,Mudd 3532,8,1/10 - 3/21
CS111,Natalie's OH ,F,10:00 AM,ANNG32,30,1/10 - 3/14
CS 310,office hours,F,10:00 AM,Mudd 3532,8,1/10 - 3/21
CS 211,OH (Zhang),F,11:00 AM,First floor lobby of Mudd,10,1/10 - 3/21
CS 310,office hours,F,11:00 AM,Mudd 3532,8,1/10 - 3/21
CS 340,Franklin Zhao <franklinzhao2026@u.northwestern.edu>,F,11:00 AM,TCHM166,21,1/10 - 3/14
CS 110,Office Hours,F,11:00 AM,TCHM152,56,1/10 - 3/14
CS 310,office hours,F,5:00 PM,Mudd 3532,8,1/10 - 3/21
CS 343,Raffi B,F,12:00 PM,First floor lobby of Mudd,10,1/10 - 3/21
CS 310,office hours,F,6:00 PM,Mudd 3532,8,1/10 - 3/21
CS349,Ethics Discussion,F,12:00 PM,TCHL170,26,1/10 - 3/14
CS 110,Office Hours,F,12:00 PM,TCHM128,40,1/10 - 3/14
CS213,office hours,F,12:00 PM,TCHA110,43,1/10 - 3/14
CS 310,office hours,F,7:00 PM,Mudd 3532,8,1/10 - 3/21
CS 343,Raffi B,F,1:00 PM,First floor lobby of Mudd,10,1/10 - 3/21
MSAI 371,Office hours by Shubhi Gupta,F,1:00 PM,Mudd 3 floor front counter,10,1/10 - 3/21
CS 343,343 Office Hours,F,9:00 AM,Mudd 3108- request swipe access - permissions@cs.northwestern.edu,10,1/10 - 3/21
CS 310,Office hours,F,1:00 PM,TCHL170,26,1/10 - 3/14
CS374,Office Hours,F,1:00 PM,TCHM120,28,1/10 - 3/14
CS 110,Office Hours,F,1:00 PM,TCHL160,30,1/10 - 3/14
CS213,office hours,F,1:00 PM,TCHA110,43,1/10 - 3/14
